ID,site name,latitude,longitude,country
br_rondonia_ji_parana_se,"BR Rondonia Ji Parana SE",-10.934250,-61.851517,"Brazil"
br_rondonia_ji_parana_unir,"BR Rondonia Ji Parana UNIR",-10.883333,-61.966667,"Brazil"
br_rondonia_porto_velho_unir,"BR Rondonia Porto Velho UNIR",-8.837083,-63.939983,"Brazil"
br_rondonia_potosi_mine,"BR Rondonia Potosi Mine",-9.283333,-62.866670,"Brazil"
br_rondonia_repressa_samuel,"BR Rondonia Repressa Samuel",-8.755167,-63.459333,"Brazil"
br_rondonia_rond__faz_nossa_senhora_ji_parana_pasture,"BR Rondonia Rond Faz Nossa Senhora Ji Parana pasture",-10.761800,-62.357201,"Brazil"
br_rondonia_rond__rebio_jaru_ji_parana_tower_a,"BR Rondonia Rond Rebio Jaru Ji Parana Tower A",-10.083200,-61.930901,"Brazil"
br_rondonia_rond__rebio_jaru_ji_parana_tower_b,"BR Rondonia Rond Rebio Jaru Ji Parana Tower B",-10.078056,-61.933097,"Brazil"
br_santacatarina_florianopolis,"BR Santa Catarina Florianopolis",-27.604700,-48.522700,"Brazil"
br_saopaolo_universidade_sao_paolo,"BR Sao Paolo Universidade Sao Paolo",-23.481630,-46.499670,"Brazil"
br_saopaulo_atlantic_forest_sao_paulo,"BR Sao Paulo Atlantic Forest",-23.328472,-45.093111,"Brazil"
br_saopaulo_eucaliptus_sao_paulo,"BR Sao Paulo Eucaliptus",-21.583500,-47.602306,"Brazil"
br_saopaulo_eucaplytus_plantation,"BR Sao Paulo Eucaplytus plantation",-22.967200,-48.728000,"Brazil"
br_saopaulo_ilha_do_cardoso,"BR Sao Paulo Ilha do Cardoso",-25.095500,-47.957300,"Brazil"
br_saopaulo_sao_paulo,"BR Sao Paulo",-23.561500,-46.734983,"Brazil"
br_saopaulo_sao_paulo_cerrado,"BR Sao Paulo Cerrado",-21.619499,-47.649899,"Brazil"
br_saopaulo_sao_paulo_sugar_cane,"BR Sao Paulo Sugar Cane",-21.637056,-47.790250,"Brazil"
br_tocantins_ecotone_bananal_island,"BR Tocantins Ecotone Bananal Island",-9.824420,-50.159100,"Brazil"
bw_centraldistrict_sua_pan,"BW Central District Sua Pan",-20.533333,26.066667,"Botswana"
bw_ghanzi_grass_site,"BW Ghanzi Grass Site",-21.510000,21.740000,"Botswana"
bw_ghanzi_mixed_site,"BW Ghanzi Mixed Site",-21.200001,21.750000,"Botswana"
bw_ghanzidistrict_ghanziokwa_river_crossing,"BW Ghanzi District Ghanzi Okwa River Crossing",-22.409167,21.713056,"Botswana"
bw_ngamiland_guma,"BW Ngamiland Guma",-18.964722,22.371111,"Botswana"
